"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"02.01.2020 16:00 - 02.01.2020 17:00","n/e","n/e","n/e","3148","3355","3355"
"02.01.2020 17:00 - 02.01.2020 18:00","n/e","n/e","n/e","3455","3584","3346"
"02.01.2020 18:00 - 02.01.2020 19:00","n/e","n/e","n/e","3762","3729","3539"
"02.01.2020 19:00 - 02.01.2020 20:00","n/e","n/e","n/e","3936","3837","3732"
"02.01.2020 20:00 - 02.01.2020 21:00","n/e","n/e","n/e","4096","4018","3860"
"02.01.2020 21:00 - 02.01.2020 22:00","n/e","n/e","n/e","4173","4079","4161"
"02.01.2020 22:00 - 02.01.2020 23:00","n/e","n/e","n/e","4193","4129","4327"
"02.01.2020 23:00 - 03.01.2020 00:00","n/e","n/e","n/e","4212","4111","4311"
"03.01.2020 00:00 - 03.01.2020 01:00","n/e","n/e","n/e","4066","4277","4277"
"03.01.2020 01:00 - 03.01.2020 02:00","n/e","n/e","n/e","4068","4147","4147"
"03.01.2020 02:00 - 03.01.2020 03:00","n/e","n/e","n/e","3990","3917","3917"
"03.01.2020 03:00 - 03.01.2020 04:00","n/e","n/e","n/e","4005","3944","3944"
"03.01.2020 04:00 - 03.01.2020 05:00","n/e","n/e","n/e","3966","4062","4062"
"03.01.2020 05:00 - 03.01.2020 06:00","n/e","n/e","n/e","3974","3998","3998"
"03.01.2020 06:00 - 03.01.2020 07:00","n/e","n/e","n/e","4020","3757","3757"
"03.01.2020 07:00 - 03.01.2020 08:00","n/e","n/e","n/e","3747","3556","3556"
"03.01.2020 08:00 - 03.01.2020 09:00","n/e","n/e","n/e","3384","3259","3373"
"03.01.2020 09:00 - 03.01.2020 10:00","n/e","n/e","n/e","3089","2986","2857"
"03.01.2020 10:00 - 03.01.2020 11:00","n/e","n/e","n/e","2626","2606","2354"
"03.01.2020 11:00 - 03.01.2020 12:00","n/e","n/e","n/e","2229","2063","1794"
"03.01.2020 12:00 - 03.01.2020 13:00","n/e","n/e","n/e","1974","1805","1531"
"03.01.2020 13:00 - 03.01.2020 14:00","n/e","n/e","n/e","2212","1933","1681"
"03.01.2020 14:00 - 03.01.2020 15:00","n/e","n/e","n/e","2514","2200","2027"
"03.01.2020 15:00 - 03.01.2020 16:00","n/e","n/e","n/e","2754","2536","2249"
"03.01.2020 16:00 - 03.01.2020 17:00","n/e","n/e","n/e","3205","3049","2397"
"03.01.2020 17:00 - 03.01.2020 18:00","n/e","n/e","n/e","3717","3593","2811"
"03.01.2020 18:00 - 03.01.2020 19:00","n/e","n/e","n/e","4344","4195","3313"
"03.01.2020 19:00 - 03.01.2020 20:00","n/e","n/e","n/e","4587","4548","3678"
"03.01.2020 20:00 - 03.01.2020 21:00","n/e","n/e","n/e","4781","4781","4108"
"03.01.2020 21:00 - 03.01.2020 22:00","n/e","n/e","n/e","4929","4903","4452"
"03.01.2020 22:00 - 03.01.2020 23:00","n/e","n/e","n/e","4857","4939","4452"
"03.01.2020 23:00 - 04.01.2020 00:00","n/e","n/e","n/e","4797","4918","4420"
"04.01.2020 00:00 - 04.01.2020 01:00","n/e","n/e","n/e","4304","4304","4170"
"04.01.2020 01:00 - 04.01.2020 02:00","n/e","n/e","n/e","4312","4312","4176"
"04.01.2020 02:00 - 04.01.2020 03:00","n/e","n/e","n/e","4277","4277","4183"
"04.01.2020 03:00 - 04.01.2020 04:00","n/e","n/e","n/e","4412","4412","4326"
"04.01.2020 04:00 - 04.01.2020 05:00","n/e","n/e","n/e","4495","4495","4296"
"04.01.2020 05:00 - 04.01.2020 06:00","n/e","n/e","n/e","4800","4800","4235"
"04.01.2020 06:00 - 04.01.2020 07:00","n/e","n/e","n/e","5003","5003","4415"
"04.01.2020 07:00 - 04.01.2020 08:00","n/e","n/e","n/e","5071","5071","4455"
"04.01.2020 08:00 - 04.01.2020 09:00","n/e","n/e","n/e","5011","5011","4408"
"04.01.2020 09:00 - 04.01.2020 10:00","n/e","n/e","n/e","5060","5060","4537"
"04.01.2020 10:00 - 04.01.2020 11:00","n/e","n/e","n/e","4902","4902","4625"
"04.01.2020 11:00 - 04.01.2020 12:00","n/e","n/e","n/e","4768","4768","4609"
"04.01.2020 12:00 - 04.01.2020 13:00","n/e","n/e","n/e","4783","4783","4679"
"04.01.2020 13:00 - 04.01.2020 14:00","n/e","n/e","n/e","4779","4779","5068"
"04.01.2020 14:00 - 04.01.2020 15:00","n/e","n/e","n/e","4719","4719","4997"
"04.01.2020 15:00 - 04.01.2020 16:00","n/e","n/e","n/e","4621","4621","4830"
"04.01.2020 16:00 - 04.01.2020 17:00","n/e","n/e","n/e","4866","4866","4721"
"04.01.2020 17:00 - 04.01.2020 18:00","n/e","n/e","n/e","5257","5257","4548"
"04.01.2020 18:00 - 04.01.2020 19:00","n/e","n/e","n/e","5691","5691","4982"
"04.01.2020 19:00 - 04.01.2020 20:00","n/e","n/e","n/e","5743","5743","5263"
"04.01.2020 20:00 - 04.01.2020 21:00","n/e","n/e","n/e","5712","5712","5338"
"04.01.2020 21:00 - 04.01.2020 22:00","n/e","n/e","n/e","5587","5587","5207"
"04.01.2020 22:00 - 04.01.2020 23:00","n/e","n/e","n/e","5263","5263","5067"
"04.01.2020 23:00 - 05.01.2020 00:00","n/e","n/e","n/e","4995","4995","4841"
"05.01.2020 00:00 - 05.01.2020 01:00","n/e","n/e","n/e","N/A","4831","4831"
"05.01.2020 01:00 - 05.01.2020 02:00","n/e","n/e","n/e","N/A","4397","4397"
"05.01.2020 02:00 - 05.01.2020 03:00","n/e","n/e","n/e","N/A","4008","4008"
"05.01.2020 03:00 - 05.01.2020 04:00","n/e","n/e","n/e","N/A","3931","3931"
"05.01.2020 04:00 - 05.01.2020 05:00","n/e","n/e","n/e","N/A","3844","3844"
"05.01.2020 05:00 - 05.01.2020 06:00","n/e","n/e","n/e","N/A","3786","3786"
"05.01.2020 06:00 - 05.01.2020 07:00","n/e","n/e","n/e","N/A","3728","3728"
"05.01.2020 07:00 - 05.01.2020 08:00","n/e","n/e","n/e","N/A","3658","3658"
"05.01.2020 08:00 - 05.01.2020 09:00","n/e","n/e","n/e","N/A","3436","3486"
"05.01.2020 09:00 - 05.01.2020 10:00","n/e","n/e","n/e","N/A","3141","3202"
"05.01.2020 10:00 - 05.01.2020 11:00","n/e","n/e","n/e","N/A","2686","2673"
"05.01.2020 11:00 - 05.01.2020 12:00","n/e","n/e","n/e","N/A","2245","2334"
"05.01.2020 12:00 - 05.01.2020 13:00","n/e","n/e","n/e","N/A","1828","2319"
"05.01.2020 13:00 - 05.01.2020 14:00","n/e","n/e","n/e","N/A","1574","1967"
"05.01.2020 14:00 - 05.01.2020 15:00","n/e","n/e","n/e","N/A","1426","1705"
"05.01.2020 15:00 - 05.01.2020 16:00","n/e","n/e","n/e","N/A","1289","1531"
"05.01.2020 16:00 - 05.01.2020 17:00","n/e","n/e","n/e","N/A","1243","1391"
"05.01.2020 17:00 - 05.01.2020 18:00","n/e","n/e","n/e","N/A","1286","1406"
"05.01.2020 18:00 - 05.01.2020 19:00","n/e","n/e","n/e","N/A","1190","1392"
"05.01.2020 19:00 - 05.01.2020 20:00","n/e","n/e","n/e","N/A","1134","1171"
"05.01.2020 20:00 - 05.01.2020 21:00","n/e","n/e","n/e","N/A","1067","1051"
"05.01.2020 21:00 - 05.01.2020 22:00","n/e","n/e","n/e","N/A","1064","965"
"05.01.2020 22:00 - 05.01.2020 23:00","n/e","n/e","n/e","N/A","1172","962"
"05.01.2020 23:00 - 06.01.2020 00:00","n/e","n/e","n/e","N/A","1301","1092"
"06.01.2020 00:00 - 06.01.2020 01:00","n/e","n/e","n/e","1336","1221","1221"
"06.01.2020 01:00 - 06.01.2020 02:00","n/e","n/e","n/e","1466","1465","1465"
"06.01.2020 02:00 - 06.01.2020 03:00","n/e","n/e","n/e","1585","1981","1981"
"06.01.2020 03:00 - 06.01.2020 04:00","n/e","n/e","n/e","1740","2356","2356"
"06.01.2020 04:00 - 06.01.2020 05:00","n/e","n/e","n/e","1800","2725","2725"
"06.01.2020 05:00 - 06.01.2020 06:00","n/e","n/e","n/e","1922","2894","2894"
"06.01.2020 06:00 - 06.01.2020 07:00","n/e","n/e","n/e","2010","2811","2811"
"06.01.2020 07:00 - 06.01.2020 08:00","n/e","n/e","n/e","2030","2744","2744"
"06.01.2020 08:00 - 06.01.2020 09:00","n/e","n/e","n/e","2025","2634","2528"
"06.01.2020 09:00 - 06.01.2020 10:00","n/e","n/e","n/e","2045","2535","2456"
"06.01.2020 10:00 - 06.01.2020 11:00","n/e","n/e","n/e","1817","2228","2317"
"06.01.2020 11:00 - 06.01.2020 12:00","n/e","n/e","n/e","1544","1907","2304"
"06.01.2020 12:00 - 06.01.2020 13:00","n/e","n/e","n/e","1314","1615","2150"
"06.01.2020 13:00 - 06.01.2020 14:00","n/e","n/e","n/e","1187","1426","1815"
"06.01.2020 14:00 - 06.01.2020 15:00","n/e","n/e","n/e","1102","1272","1434"
"06.01.2020 15:00 - 06.01.2020 16:00","n/e","n/e","n/e","1032","1168","1286"
"06.01.2020 16:00 - 06.01.2020 17:00","n/e","n/e","n/e","998","1305","1178"
"06.01.2020 17:00 - 06.01.2020 18:00","n/e","n/e","n/e","1042","1391","1197"
"06.01.2020 18:00 - 06.01.2020 19:00","n/e","n/e","n/e","1177","1575","1343"
"06.01.2020 19:00 - 06.01.2020 20:00","n/e","n/e","n/e","1471","1987","1597"
"06.01.2020 20:00 - 06.01.2020 21:00","n/e","n/e","n/e","1916","2540","1872"
"06.01.2020 21:00 - 06.01.2020 22:00","n/e","n/e","n/e","2443","3220","2232"
"06.01.2020 22:00 - 06.01.2020 23:00","n/e","n/e","n/e","2471","3131","2699"
"06.01.2020 23:00 - 07.01.2020 00:00","n/e","n/e","n/e","2509","2916","2525"
"07.01.2020 00:00 - 07.01.2020 01:00","n/e","n/e","n/e","2496","2405","2405"
"07.01.2020 01:00 - 07.01.2020 02:00","n/e","n/e","n/e","2305","2435","2435"
"07.01.2020 02:00 - 07.01.2020 03:00","n/e","n/e","n/e","2196","2457","2457"
"07.01.2020 03:00 - 07.01.2020 04:00","n/e","n/e","n/e","2203","2365","2365"
"07.01.2020 04:00 - 07.01.2020 05:00","n/e","n/e","n/e","2034","1997","1997"
"07.01.2020 05:00 - 07.01.2020 06:00","n/e","n/e","n/e","1878","1909","1909"
"07.01.2020 06:00 - 07.01.2020 07:00","n/e","n/e","n/e","1729","1974","1974"
"07.01.2020 07:00 - 07.01.2020 08:00","n/e","n/e","n/e","1738","2190","2190"
"07.01.2020 08:00 - 07.01.2020 09:00","n/e","n/e","n/e","1936","2155","2222"
"07.01.2020 09:00 - 07.01.2020 10:00","n/e","n/e","n/e","2010","2156","2125"
"07.01.2020 10:00 - 07.01.2020 11:00","n/e","n/e","n/e","1932","2028","1990"
"07.01.2020 11:00 - 07.01.2020 12:00","n/e","n/e","n/e","1801","1833","1815"
"07.01.2020 12:00 - 07.01.2020 13:00","n/e","n/e","n/e","1691","1612","1619"
"07.01.2020 13:00 - 07.01.2020 14:00","n/e","n/e","n/e","1549","1548","1519"
"07.01.2020 14:00 - 07.01.2020 15:00","n/e","n/e","n/e","1444","1531","1583"
"07.01.2020 15:00 - 07.01.2020 16:00","n/e","n/e","n/e","1382","1494","1348"
"07.01.2020 16:00 - 07.01.2020 17:00","n/e","n/e","n/e","1587","1912","1442"
"07.01.2020 17:00 - 07.01.2020 18:00","n/e","n/e","n/e","1924","2451","1642"
"07.01.2020 18:00 - 07.01.2020 19:00","n/e","n/e","n/e","2299","2983","2287"
"07.01.2020 19:00 - 07.01.2020 20:00","n/e","n/e","n/e","2567","3290","2751"
"07.01.2020 20:00 - 07.01.2020 21:00","n/e","n/e","n/e","2828","3592","2967"
"07.01.2020 21:00 - 07.01.2020 22:00","n/e","n/e","n/e","3121","3926","2922"
"07.01.2020 22:00 - 07.01.2020 23:00","n/e","n/e","n/e","3298","4006","2982"
"07.01.2020 23:00 - 08.01.2020 00:00","n/e","n/e","n/e","3484","4013","3091"
"08.01.2020 00:00 - 08.01.2020 01:00","n/e","n/e","n/e","3164","3222","3222"
"08.01.2020 01:00 - 08.01.2020 02:00","n/e","n/e","n/e","3270","3335","3335"
"08.01.2020 02:00 - 08.01.2020 03:00","n/e","n/e","n/e","3292","3386","3386"
"08.01.2020 03:00 - 08.01.2020 04:00","n/e","n/e","n/e","3275","3240","3240"
"08.01.2020 04:00 - 08.01.2020 05:00","n/e","n/e","n/e","3063","3080","3080"
"08.01.2020 05:00 - 08.01.2020 06:00","n/e","n/e","n/e","2883","2987","2987"
"08.01.2020 06:00 - 08.01.2020 07:00","n/e","n/e","n/e","2641","2806","2806"
"08.01.2020 07:00 - 08.01.2020 08:00","n/e","n/e","n/e","2401","2603","2603"
"08.01.2020 08:00 - 08.01.2020 09:00","n/e","n/e","n/e","2093","2287","2431"
"08.01.2020 09:00 - 08.01.2020 10:00","n/e","n/e","n/e","1813","1934","2107"
"08.01.2020 10:00 - 08.01.2020 11:00","n/e","n/e","n/e","1469","1503","1509"
"08.01.2020 11:00 - 08.01.2020 12:00","n/e","n/e","n/e","1133","1181","1069"
"08.01.2020 12:00 - 08.01.2020 13:00","n/e","n/e","n/e","895","894","751"
"08.01.2020 13:00 - 08.01.2020 14:00","n/e","n/e","n/e","902","896","888"
"08.01.2020 14:00 - 08.01.2020 15:00","n/e","n/e","n/e","978","924","1131"
"08.01.2020 15:00 - 08.01.2020 16:00","n/e","n/e","n/e","1038","967","1152"
"08.01.2020 16:00 - 08.01.2020 17:00","n/e","n/e","n/e","1179","1272","1114"
"08.01.2020 17:00 - 08.01.2020 18:00","n/e","n/e","n/e","1468","1530","1203"
"08.01.2020 18:00 - 08.01.2020 19:00","n/e","n/e","n/e","1784","1866","1625"
"08.01.2020 19:00 - 08.01.2020 20:00","n/e","n/e","n/e","2145","2219","2129"
"08.01.2020 20:00 - 08.01.2020 21:00","n/e","n/e","n/e","2620","2621","2649"
"08.01.2020 21:00 - 08.01.2020 22:00","n/e","n/e","n/e","2942","2974","3104"
"08.01.2020 22:00 - 08.01.2020 23:00","n/e","n/e","n/e","3623","3245","3514"
"08.01.2020 23:00 - 09.01.2020 00:00","n/e","n/e","n/e","4098","3460","3846"
"09.01.2020 00:00 - 09.01.2020 01:00","n/e","n/e","n/e","3996","4085","4085"
"09.01.2020 01:00 - 09.01.2020 02:00","n/e","n/e","n/e","4104","4167","4167"
"09.01.2020 02:00 - 09.01.2020 03:00","n/e","n/e","n/e","4101","4547","4547"
"09.01.2020 03:00 - 09.01.2020 04:00","n/e","n/e","n/e","4086","4745","4745"
"09.01.2020 04:00 - 09.01.2020 05:00","n/e","n/e","n/e","4141","4857","4857"
"09.01.2020 05:00 - 09.01.2020 06:00","n/e","n/e","n/e","4263","5136","5136"
"09.01.2020 06:00 - 09.01.2020 07:00","n/e","n/e","n/e","4350","5287","5287"
"09.01.2020 07:00 - 09.01.2020 08:00","n/e","n/e","n/e","4554","5227","5227"
"09.01.2020 08:00 - 09.01.2020 09:00","n/e","n/e","n/e","4740","5277","5341"
"09.01.2020 09:00 - 09.01.2020 10:00","n/e","n/e","n/e","4883","5315","5537"
"09.01.2020 10:00 - 09.01.2020 11:00","n/e","n/e","n/e","4789","5245","5375"
"09.01.2020 11:00 - 09.01.2020 12:00","n/e","n/e","n/e","4873","5243","5294"
"09.01.2020 12:00 - 09.01.2020 13:00","n/e","n/e","n/e","4986","5273","5493"
"09.01.2020 13:00 - 09.01.2020 14:00","n/e","n/e","n/e","5112","5231","5863"
"09.01.2020 14:00 - 09.01.2020 15:00","n/e","n/e","n/e","5225","5175","6364"
"09.01.2020 15:00 - 09.01.2020 16:00","n/e","n/e","n/e","5252","5121","6515"
"09.01.2020 16:00 - 09.01.2020 17:00","n/e","n/e","n/e","5072","5020","6277"
"09.01.2020 17:00 - 09.01.2020 18:00","n/e","n/e","n/e","4823","4752","5537"
"09.01.2020 18:00 - 09.01.2020 19:00","n/e","n/e","n/e","4740","4478","5020"
"09.01.2020 19:00 - 09.01.2020 20:00","n/e","n/e","n/e","4777","4587","5351"
"09.01.2020 20:00 - 09.01.2020 21:00","n/e","n/e","n/e","4759","4739","5282"
"09.01.2020 21:00 - 09.01.2020 22:00","n/e","n/e","n/e","4856","4938","5071"
"09.01.2020 22:00 - 09.01.2020 23:00","n/e","n/e","n/e","5139","5334","5775"
"09.01.2020 23:00 - 10.01.2020 00:00","n/e","n/e","n/e","5375","5726","6327"
"10.01.2020 00:00 - 10.01.2020 01:00","n/e","n/e","n/e","6547","6633","6633"
"10.01.2020 01:00 - 10.01.2020 02:00","n/e","n/e","n/e","6765","6847","6847"
"10.01.2020 02:00 - 10.01.2020 03:00","n/e","n/e","n/e","6856","6792","6792"
"10.01.2020 03:00 - 10.01.2020 04:00","n/e","n/e","n/e","7007","6861","6861"
"10.01.2020 04:00 - 10.01.2020 05:00","n/e","n/e","n/e","7081","6894","6894"
"10.01.2020 05:00 - 10.01.2020 06:00","n/e","n/e","n/e","7159","7056","7056"
"10.01.2020 06:00 - 10.01.2020 07:00","n/e","n/e","n/e","7331","7301","7301"
"10.01.2020 07:00 - 10.01.2020 08:00","n/e","n/e","n/e","7250","7275","7275"
"10.01.2020 08:00 - 10.01.2020 09:00","n/e","n/e","n/e","7045","7092","7208"
"10.01.2020 09:00 - 10.01.2020 10:00","n/e","n/e","n/e","6826","6868","7225"
"10.01.2020 10:00 - 10.01.2020 11:00","n/e","n/e","n/e","6922","6906","6554"
"10.01.2020 11:00 - 10.01.2020 12:00","n/e","n/e","n/e","7191","7141","6586"
"10.01.2020 12:00 - 10.01.2020 13:00","n/e","n/e","n/e","7535","7622","7103"
"10.01.2020 13:00 - 10.01.2020 14:00","n/e","n/e","n/e","7734","7866","7235"
"10.01.2020 14:00 - 10.01.2020 15:00","n/e","n/e","n/e","7829","8070","7379"
"10.01.2020 15:00 - 10.01.2020 16:00","n/e","n/e","n/e","7883","8177","7308"
"10.01.2020 16:00 - 10.01.2020 17:00","n/e","n/e","n/e","7770","7936","7146"
"10.01.2020 17:00 - 10.01.2020 18:00","n/e","n/e","n/e","7623","7593","7308"
"10.01.2020 18:00 - 10.01.2020 19:00","n/e","n/e","n/e","7515","7371","7109"
"10.01.2020 19:00 - 10.01.2020 20:00","n/e","n/e","n/e","7378","7225","7180"
"10.01.2020 20:00 - 10.01.2020 21:00","n/e","n/e","n/e","7255","7064","7426"
"10.01.2020 21:00 - 10.01.2020 22:00","n/e","n/e","n/e","7092","6816","7162"
"10.01.2020 22:00 - 10.01.2020 23:00","n/e","n/e","n/e","6756","6517","6666"
"10.01.2020 23:00 - 11.01.2020 00:00","n/e","n/e","n/e","6384","6090","6103"
"11.01.2020 00:00 - 11.01.2020 01:00","n/e","n/e","n/e","5908","5521","5521"
"11.01.2020 01:00 - 11.01.2020 02:00","n/e","n/e","n/e","5640","5239","5239"
"11.01.2020 02:00 - 11.01.2020 03:00","n/e","n/e","n/e","5105","5304","5304"
"11.01.2020 03:00 - 11.01.2020 04:00","n/e","n/e","n/e","4861","5138","5138"
"11.01.2020 04:00 - 11.01.2020 05:00","n/e","n/e","n/e","4673","5007","5007"
"11.01.2020 05:00 - 11.01.2020 06:00","n/e","n/e","n/e","4505","4796","4796"
"11.01.2020 06:00 - 11.01.2020 07:00","n/e","n/e","n/e","4321","4538","4538"
"11.01.2020 07:00 - 11.01.2020 08:00","n/e","n/e","n/e","3970","4221","4221"
"11.01.2020 08:00 - 11.01.2020 09:00","n/e","n/e","n/e","3494","3784","4084"
"11.01.2020 09:00 - 11.01.2020 10:00","n/e","n/e","n/e","2997","3236","3613"
"11.01.2020 10:00 - 11.01.2020 11:00","n/e","n/e","n/e","2467","2664","2842"
"11.01.2020 11:00 - 11.01.2020 12:00","n/e","n/e","n/e","2062","2126","2412"
"11.01.2020 12:00 - 11.01.2020 13:00","n/e","n/e","n/e","1787","1649","2249"
"11.01.2020 13:00 - 11.01.2020 14:00","n/e","n/e","n/e","1595","1352","1900"
"11.01.2020 14:00 - 11.01.2020 15:00","n/e","n/e","n/e","1398","1173","1527"
"11.01.2020 15:00 - 11.01.2020 16:00","n/e","n/e","n/e","1228","1065","1259"
"11.01.2020 16:00 - 11.01.2020 17:00","n/e","n/e","n/e","1252","1088","1084"
"11.01.2020 17:00 - 11.01.2020 18:00","n/e","n/e","n/e","1391","1178","1155"
"11.01.2020 18:00 - 11.01.2020 19:00","n/e","n/e","n/e","1557","1311","1414"
"11.01.2020 19:00 - 11.01.2020 20:00","n/e","n/e","n/e","1654","1431","1757"
"11.01.2020 20:00 - 11.01.2020 21:00","n/e","n/e","n/e","1748","1622","2003"
"11.01.2020 21:00 - 11.01.2020 22:00","n/e","n/e","n/e","1895","1855","2280"
"11.01.2020 22:00 - 11.01.2020 23:00","n/e","n/e","n/e","2071","2041","2808"
"11.01.2020 23:00 - 12.01.2020 00:00","n/e","n/e","n/e","2251","2147","3235"
"12.01.2020 00:00 - 12.01.2020 01:00","n/e","n/e","n/e","2417","3418","3418"
"12.01.2020 01:00 - 12.01.2020 02:00","n/e","n/e","n/e","2424","3507","3507"
"12.01.2020 02:00 - 12.01.2020 03:00","n/e","n/e","n/e","2574","3274","3274"
"12.01.2020 03:00 - 12.01.2020 04:00","n/e","n/e","n/e","2593","3394","3394"
"12.01.2020 04:00 - 12.01.2020 05:00","n/e","n/e","n/e","2711","3319","3319"
"12.01.2020 05:00 - 12.01.2020 06:00","n/e","n/e","n/e","2821","3453","3453"
"12.01.2020 06:00 - 12.01.2020 07:00","n/e","n/e","n/e","3022","3321","3321"
"12.01.2020 07:00 - 12.01.2020 08:00","n/e","n/e","n/e","3002","3463","3463"
"12.01.2020 08:00 - 12.01.2020 09:00","n/e","n/e","n/e","2899","3424","3676"
"12.01.2020 09:00 - 12.01.2020 10:00","n/e","n/e","n/e","2818","3273","3730"
"12.01.2020 10:00 - 12.01.2020 11:00","n/e","n/e","n/e","2401","2761","3221"
"12.01.2020 11:00 - 12.01.2020 12:00","n/e","n/e","n/e","2030","2213","2446"
"12.01.2020 12:00 - 12.01.2020 13:00","n/e","n/e","n/e","1741","1783","2157"
"12.01.2020 13:00 - 12.01.2020 14:00","n/e","n/e","n/e","1583","1558","1827"
"12.01.2020 14:00 - 12.01.2020 15:00","n/e","n/e","n/e","1444","1345","1609"
"12.01.2020 15:00 - 12.01.2020 16:00","n/e","n/e","n/e","1287","1129","1305"
"12.01.2020 16:00 - 12.01.2020 17:00","n/e","n/e","n/e","1191","1160","1007"
"12.01.2020 17:00 - 12.01.2020 18:00","n/e","n/e","n/e","1128","1150","1009"
"12.01.2020 18:00 - 12.01.2020 19:00","n/e","n/e","n/e","1104","1176","1182"
"12.01.2020 19:00 - 12.01.2020 20:00","n/e","n/e","n/e","1012","1094","1127"
"12.01.2020 20:00 - 12.01.2020 21:00","n/e","n/e","n/e","921","1052","1037"
"12.01.2020 21:00 - 12.01.2020 22:00","n/e","n/e","n/e","857","1052","1038"
"12.01.2020 22:00 - 12.01.2020 23:00","n/e","n/e","n/e","882","1191","1236"
"12.01.2020 23:00 - 13.01.2020 00:00","n/e","n/e","n/e","933","1392","1488"
"13.01.2020 00:00 - 13.01.2020 01:00","n/e","n/e","n/e","1650","1735","1735"
"13.01.2020 01:00 - 13.01.2020 02:00","n/e","n/e","n/e","1986","2086","2086"
